2026-08-25T14:18:02+01:00 optimizer supervisor down; starting
2026-08-25T14:38:04+01:00 optimizer supervisor down; starting
2026-08-25T14:58:06+01:00 optimizer supervisor down; starting
2026-08-25T17:02:29+03:00 paper runner down; starting config_mt5_demo_firehose_hw.yaml
2026-08-25T17:02:30+03:00 optimizer supervisor down; starting
2026-08-25T17:02:53+03:00 optimizer supervisor down; starting
2026-08-25T15:18:07+01:00 optimizer supervisor down; starting
2026-08-25T15:38:09+01:00 optimizer supervisor down; starting
2026-08-25T15:58:10+01:00 optimizer supervisor down; starting
2026-08-25T16:18:12+01:00 optimizer supervisor down; starting
2026-08-25T16:38:13+01:00 optimizer supervisor down; starting
2026-08-25T16:58:16+01:00 optimizer supervisor down; starting
2026-08-25T17:18:18+01:00 optimizer supervisor down; starting
2026-08-25T17:38:20+01:00 optimizer supervisor down; starting
2026-08-25T17:58:22+01:00 optimizer supervisor down; starting
2026-08-25T18:18:23+01:00 optimizer supervisor down; starting
2026-08-25T18:38:25+01:00 optimizer supervisor down; starting
2026-08-25T18:58:26+01:00 optimizer supervisor down; starting
2026-08-25T19:18:28+01:00 optimizer supervisor down; starting
2026-08-25T19:38:30+01:00 optimizer supervisor down; starting
2026-08-25T19:58:32+01:00 optimizer supervisor down; starting
2026-08-25T20:18:33+01:00 optimizer supervisor down; starting
2026-08-25T20:38:35+01:00 optimizer supervisor down; starting
2026-08-25T20:58:36+01:00 optimizer supervisor down; starting
2026-08-25T21:18:38+01:00 optimizer supervisor down; starting
2026-08-25T21:38:40+01:00 optimizer supervisor down; starting
2026-08-25T21:58:41+01:00 optimizer supervisor down; starting
2026-08-25T22:18:43+01:00 optimizer supervisor down; starting
2026-08-25T22:38:44+01:00 optimizer supervisor down; starting
2026-08-25T22:58:46+01:00 optimizer supervisor down; starting
2026-08-25T23:18:48+01:00 optimizer supervisor down; starting
2026-08-25T23:38:49+01:00 optimizer supervisor down; starting
2026-08-25T23:58:51+01:00 optimizer supervisor down; starting
2026-08-26T00:18:52+01:00 optimizer supervisor down; starting
2026-08-26T00:38:54+01:00 optimizer supervisor down; starting
2026-08-26T00:58:55+01:00 optimizer supervisor down; starting
2026-08-26T01:18:57+01:00 optimizer supervisor down; starting
2026-08-26T01:38:59+01:00 optimizer supervisor down; starting
2026-08-26T01:59:01+01:00 optimizer supervisor down; starting
2026-08-26T02:19:03+01:00 optimizer supervisor down; starting
2026-08-26T02:39:04+01:00 optimizer supervisor down; starting
2026-08-26T02:59:06+01:00 optimizer supervisor down; starting
2026-08-26T03:19:07+01:00 optimizer supervisor down; starting
2026-08-26T03:39:09+01:00 optimizer supervisor down; starting
2026-08-26T03:59:10+01:00 optimizer supervisor down; starting
2026-08-26T04:19:12+01:00 optimizer supervisor down; starting
2026-08-26T04:39:13+01:00 optimizer supervisor down; starting
2026-08-26T04:59:15+01:00 optimizer supervisor down; starting
2026-08-26T05:19:17+01:00 optimizer supervisor down; starting
2026-08-26T05:39:18+01:00 optimizer supervisor down; starting
2026-08-26T05:59:20+01:00 optimizer supervisor down; starting
2026-08-26T06:19:22+01:00 optimizer supervisor down; starting
2026-08-26T06:39:23+01:00 optimizer supervisor down; starting
2026-08-26T06:59:25+01:00 optimizer supervisor down; starting
2026-08-26T07:19:27+01:00 optimizer supervisor down; starting
2026-08-26T07:39:28+01:00 optimizer supervisor down; starting
2026-08-26T07:59:30+01:00 optimizer supervisor down; starting
2026-08-26T08:19:31+01:00 optimizer supervisor down; starting
2026-08-26T08:39:33+01:00 optimizer supervisor down; starting
2026-08-26T08:59:36+01:00 optimizer supervisor down; starting
2026-08-26T09:19:37+01:00 optimizer supervisor down; starting
2026-08-26T09:39:39+01:00 optimizer supervisor down; starting
2026-08-26T09:59:41+01:00 optimizer supervisor down; starting
2026-08-26T10:19:42+01:00 optimizer supervisor down; starting
2026-08-26T10:39:44+01:00 optimizer supervisor down; starting
2026-08-26T10:59:45+01:00 optimizer supervisor down; starting
2026-08-26T11:20:09+01:00 optimizer supervisor down; starting
2026-08-26T11:42:29+01:00 optimizer supervisor down; starting
2026-08-26T12:02:31+01:00 optimizer supervisor down; starting
2026-08-26T12:24:50+01:00 paper runner down; starting config_mt5_demo_firehose_hw.yaml
2026-08-26T12:24:50+01:00 optimizer supervisor down; starting
